Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
PCR 4 IR 2: Social Welfare Services,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,39503,41274,1480000,643909
PCR 4 IR 3: Community-Based and Coordination/Referral,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,39503,41274,5598000,3810268
PCR 4 IR 4: Child Protection - Armed Conflict,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,39503,41274,4973000,2837419
PCR 1 IR 1: Maternal and Child Health and Nutrition –Equity focused Policy and Strategy Support,HEALTH,United Nations Children's Fund,39503,41274,635368,314206
PCR 1 IR 2: Maternal and Child Health and nutrition –services for women children and adolescent girls,HEALTH,United Nations Children's Fund,39503,41274,5148313,4380607
PCR 1 IR 3: Access & utilization of micronutrients (Vitamin A iron tablets MNP Powder Iodized salt) with focus on children adolescent girls & mothers in disadvantaged groups and urban areas increased.,HEALTH,United Nations Children's Fund,39503,41274,1628324,2320345
PCR 1 IR 5: Capacity of Govt/ Stakeholders in disaster risk reduction preparedness response & recovery enhanced to ensure H&N status of children adolescents girls & women during humanitarian crisis,HEALTH,United Nations Children's Fund,39503,41274,753000,900636
PCR 1 IR 4: Maternal Newborn child health and adolescents survival- Communication for Development,HEALTH,United Nations Children's Fund,39503,41274,789000,665724
PCR 6 IR 1 - National WASH Programme formulated ensuring the incorporation of gender social inclusion and equity issues,DRINKING WATER,United Nations Children's Fund,39503,41274,386000,246412
PCR 6 IR 2: HHs and institutions especially in MDAG VDCs in DACAW diarrhoea prone & low sanitation coverage districts increasingly utilise improved sanitation hygiene and water supply facilities.,LOCAL DEVELOPMENT,Norway United Nations Children's Fund,39503,41274,8089758,8222985
PCR 6 IR 3 - Cluster leadership and equitable access and use of emergency WASH services in line with the CCCs & Sphere standards.,LOCAL DEVELOPMENT,United Nations Children's Fund,39503,41274,311404,628739
Education and Health Support Project,HEALTH,LiScha Himalaya e.v.,43047,44142,1852754,166364
Blindness Alleviation Program,HEALTH,Himalayan Cataract Project,42037,44424,2736613,404968
Infrastructure Development Program for quality Education in Nepal III,EDUCATION,Um Hong Gil Human Foundation,42988,43718,555616,0
Infrastructure Development for Quality Education in Nepal & School Support Project IV,EDUCATION,Um Hong Gil Human Foundation,43143,43873,499468,0
Infrastructure Development for Quality Education & School Support Project in Nepal V,EDUCATION,Um Hong Gil Human Foundation,42547,44147,425352,0
EMOP 200768  Emergency Food Assistance for Flood-Affected People in Mid-Western Nepal,OTHERS - SOCIAL,World Food Programme,41907,42185,2439843,2439843
Country Programme 200319,LIVELIHOOD,World Food Programme,41275,43100,0,47252226
Country Programme 200319,EDUCATION,Korea International Cooperation Agency,41275,43100,3651010,3858878
EMERGENCY OPERATION 200668 – EMERGENCY FOOD ASSISTANCE TO PEOPLE AFFECTED BY EARTHQUAKE IN NEPAL,OFF BUDGET,World Food Programme,42125,42400,33874716,33887279
PRRO 200787 - Protracted Relief and Recovery Operation Nepal,HEALTH,World Food Programme,42005,43100,3795013,3795013
IR-EMOP 200983 - IR EMOP - Karnali Drought Response,HEALTH,World Food Programme,42502,42613,292389,292389
PRRO 200875 - Restoring Food & Nutrition Security and Building Resilient Livelihoods in Earthquake Affected Areas,HOME AFFAIRS,World Food Programme,42319,43100,7171264,7171264
Nepal T-ICSP Activity 1 - School Meal Programme,EDUCATION,World Food Programme,43101,43465,11502911,7213149
Nepal T-ICSP Activity 2 - Food assistance to refuges,OTHERS - SOCIAL,World Food Programme,43101,43465,1157931,701367
Nepal T-ICSP Activity 3 - Nutrition support,HEALTH,World Food Programme,42754,43131,983898,1823373
Nepal T-ICSP Activity 4 - Resilience building,OTHERS - SOCIAL,World Food Programme,42935,43465,16485051,5569515
Nepal T-ICSP Activity 5 - Capacity Strengthening CDP,LOCAL DEVELOPMENT,World Food Programme,43300,43465,695396,560168
Nepal T-ICSP Activity 6 - Emergency Response,HOME AFFAIRS,World Food Programme,42935,43465,0,388047
Nepal T-ICSP Activity 7 -Neksap,AGRICULTURE,World Food Programme,42754,43101,305979,388047
EMOP 201101 - Emergency response to critically Food Insecure populations in severely flood affected districts in Southern Nepal,HOME AFFAIRS,World Food Programme, -,43100,2254575,2254575
IR-EMOP 201098 - Immediate Response Emergency Operations. Nepal support to flood affected people,SOCIAL PROTECTION,World Food Programme,42965,43028,3905291,2316354
Nepal (CSP 2019 - 2023): Activity 1 - Food assistance to affected people,HOME AFFAIRS,World Food Programme,43404,45291,5704595,874740
Nepal (CSP 2019 - 2023): Activity 2 - Support in prevention of malnutrition,HEALTH,World Food Programme,43404,45291,3710615,1626507
Nepal CSP 2019 - 2023: Activity 3 - NP02.02.021.SMP1,EDUCATION,World Food Programme,43404,45291,10142363,9779870
Nepal CSP 2019 - 2023: Activity 4 - Rice fortification and supply chain,SUPPLY,World Food Programme,43131,44957,462429,16703
Nepal CSP 2019 - 2023: Activity 5 - Climate change adaptation,HOME AFFAIRS,World Food Programme,43404,45291,9654083,3414810
Nepal Integrated Development Programme (NIDP),ECONOMIC AFFAIRS,Qatar Charity Nepal,42527, -,6108288,2024659
Nepal CSP 2019 - 2023: Activity 6 - Emergency preparedness,INDUSTRY,World Food Programme,43404,45291,347183,0
Nepal CSP 2019 - 2023: Activity 6 - Emergency preparedness,SUPPLY,World Food Programme,43404,45291,1604632,1589840
Nepal CSP 2019 - 2023: Activity 7 - Food security monitoring and analysis,AGRICULTURE,World Food Programme,43404,45291,1463738,979657
Nepal CSP 2019 - 2023: Activity 8 - Enhance food security plans,AGRICULTURE,World Food Programme,43404,45291,979767,0
PRRO 200136 Food Assistance to Refugees from Bhutan,HEALTH,World Food Programme,40444,42004,22995437,22995437
PRRO 200152 Assistance to Food-insecure Populations in the Mid/Far-West Hill and Mountain Regions of Nepal,LIVELIHOOD,World Food Programme,40422,41639,71520195,27764799
PRRO 200152 Assistance to Food-insecure Populations in the Mid/Far-West Hill and Mountain Regions of Nepal,HEALTH,World Food Programme,40422,41639,98191354,38103811
Youth Employment Project (YEP) Nepal,LABOUR,Swisscontact Nepal,41275,43861,1525000,895522
Skills for Safe Reconstruction Project,LIVELIHOOD,Swisscontact Nepal, -,43495,1334712,1304118
Pasang Lhamu-Nicole Niquille Hospital Lukla,HEALTH,Foundation Nicole Niquille Hospital Lukla,42942,44561,1479373,1551731
Increased national capacity to provide sexual and reproductive health services in humanitarian settings,HEALTH,United Nations Population Fund, -, -,1989205,3681762
Increased capacity to prevent gender-based violence and harmful practices and enable the delivery of multi-sectoral services in humanitarian settings,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Population Fund, -, -,2247205,2311601
Gender Based Violence Prevention and Response Project,WOMEN CHILDREN & SOCIAL WELFARE,Swiss Agency for Development and Cooperation,42415,43465,2976657,3635632
NPL081RH- Sexual and reproductive health,HEALTH,United Nations Population Fund,43101,44926,1527759,2263328
NPL082AY - Adolescents and YOUTH OFF BUDGET,United Nations Population Fund,43101,44926,459303,469136, -
NPL083GE Gender equality and empowerment of Women WOMEN CHILDREN & SOCIAL WELFARE,United Nations Population Fund,43101,44926,1148633,1016015, -
NPL084PD - Population dynamics,POPULATION,United Nations Population Fund,43101,44926,1276603,1317927
NPL08PCA - Programme coordination and assistance,OFF BUDGET,United Nations Population Fund,43101,44926,220400,131979
FPRHCNPL - UNFPA Supplies,HEALTH,United Nations Population Fund,43101,44926,2593577,1996212
ZZT06NPL - Maternal Health Programme,HEALTH,United Nations Population Fund,43101,44926,344170,256186
EF- Meeting protection needs of flood affected women and adolescent girls through multi-sectoral GBV prevention and response,Women  CHILDREN & SOCIAL WELFARE,United Nations Population Fund, -, -,155000,0
Global Programme to Accelerate Action to End Child Marriage,OFF BUDGET,United Nations Population Fund,42515,43830,1316743,1214738
Experimenting HIV/Youth Frendly services integration to health services in Nepal -Project Acceleration Fund (PAF),HEALTH,Joint United Nations Programme on HIV/AIDS,39568,40178,40000,36535
Education for all: enabling access in earthquake affected areas,EARTHQUAKE RECONSTRUCTION,Street Child of Nepal,43348,43555,2961711,2735226
Maryknoll Empowerment Project Nepal (MEP-Nepal),GENERAL ADMINISTRATION,Maryknoll Fathers and Brothers Project Nepal,43038,44863,1000000,379550
Output 1 (NPL7U601): Strengthened capacity of health institutions and service providers to plan implement and monitor high-quality comprehensive sexual and reproductive health services,HEALTH,United Nations Population Fund,41317,41639,10185487,13358278
Output 2 (NPL7U602): Increased capacity of women and youth to access high-quality sexual and reproductive health services,HEALTH,United Nations Population Fund,41317,43100,1854033,2657496
Output 1 (NPL7U501): Strengthened national and subnational health-system capacity within the coordinated multisectoral response to sexual and gender-based violence,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Population Fund,41317,43100,2289084,3440988
Output 2 (NPL7U502): Enhanced capacity of men and women to prevent gender-based violence and support women seeking multisectoral services on gender-based violence,WOMEN CHILDREN & SOCIAL WELFARE,United Nations Population Fund,41317,43100,1699955,2298079
Output 2 (NPL7U503): Communities are engaged in preventing early marriage and other practices that discriminate against and harm young Women WOMEN CHILDREN & SOCIAL WELFARE,United Nations Population Fund,41317,43100,1398068,1868385, -
Output 1 (NPL7U101): Strengthened capacity of relevant government ministries at national and subnational levels to address population dynamics and its interlinkages in policies programmes and budgets (Off Budget),LOCAL DEVELOPMENT,United Nations Population Fund,41317,43100,1931196,2153683
Output 1 (NPL7U101): Strengthened capacity of relevant government ministries at national and subnational levels to address population dynamics and its interlinkages in policies programmes and budgets (On Budget),YOUTH SPORTS & CULTURE,United Nations Population Fund,41317,43100,605125,710714
Output 2 (NPL7U102): Improved data availability and analysis for evidence-based decision-making and policy formulation on population dynamics adolescent sexual and reproductive health and gender equality (Off Budget),LOCAL DEVELOPMENT,United Nations Population Fund,41317,43100,1115973,1037065
Output 2 (NPL7U102): Improved data availability and analysis for evidence-based decision-making and policy formulation on population dynamics adolescent sexual and reproductive health and gender equality (On Budget),LOCAL DEVELOPMENT,United Nations Population Fund,41317,43100,538610,529331
Output 3 (NPL7U103): Strengthened capacity of networks for youth and for vulnerable women at central and local levels to influence development policies plans and budgets,YOUTH SPORTS & CULTURE,United Nations Population Fund,41317,43100,1294508,1569082
NPL7A101: Programme Coordination and Assistance (PCA:Off Budget),HEALTH,United Nations Population Fund,41317,43100,606357,591592
Unified Work-Plan and Budget (UBW),HEALTH,United Nations Population Fund,40414,41274,90950,84453
Emergency Life saving mobile reproductive health services in the remotest and conflict affected districts of Nepal (CERF),HEALTH,United Nations Population Fund,40441,40754,235871,217211
Emergency Reproductive Health services to conflict affected and marginalized population the Far Western Region of Nepal (ECHO V),HEALTH,United Nations Population Fund,40533,40908,500923,328679
Delivering Essential Reproductive Health Care for Women  Men and Adolescents of Mid and Far Western Districts of Nepal through Mobile Reproductive Health Camps.,HEALTH,United Nations Population Fund,39650,40209,514000,466346
Multi-Sectoral Gender Based Violence Response at the District Level in Nepal (EVAW),SOCIAL PROTECTION,United Nations Population Fund,40026,41121,413555,334250
Support to the Rehabilitation of Verified Minors and Late Recruits (UNIRP).,HEALTH,United Nations Population Fund,40310,41060,892380,323239
COUNTRY PROGRAMME ACTION PLAN (CPAP)  2008-2010 (extended to 2012) for the Programme of Cooperation between The Government of Nepal and The United Nations Population Fund (UNFPA),HEALTH,United Nations Population Fund,39503,41274,25000000,21980000
Delivering Essential Reproductive Health Care for Women  Men and Adolescents of Mid and Far Western Districts of Nepal through Mobile Reproductive Health Camps.,HEALTH,United Nations Population Fund,40252,41129,895247,863100
Ensuring recognition of sexual violence as a tool of conflict in the Nepal peace building process through documentation and provision of comprehensive services to women and girl victims/survivors (SGBV).,HEALTH,United Nations Population Fund,40298,41028,1382060,1269673
Maternal Health Trust Fund (MHTF),HEALTH,United Nations Population Fund,40347,41274,400000,290630
Providing Emergency Reproductive Health Assistance to conflict affected and vulnerable populations in Far and Mid Western Nepal (ECHO IV),HEALTH,United Nations Population Fund,40064,40421,415189,410890
The Project for Improving Maternal and Child Health Care in Mugu,HEALTH,Korea International Cooperation Agency,41631,43462,5000000,4212965
The Inclusive Rural Development Project in Nawalparasi,HEALTH,Korea International Cooperation Agency,41985,43810,8000000,2560037
Integrated Rural Development of Nepal through Strengthening Research & Development Capacity of Kathmandu University,EDUCATION,Korea International Cooperation Agency,42682,45046,10000000,2762000
Capacity Building of Technical and Vocational Education and Training Instructors in Nepal,EDUCATION,Korea International Cooperation Agency, -, -,0,985000
Community Maternal and Child Health Project in Mugu,HEALTH,Al-Khair Foundation,42998,43708,435128,0
Relief Empowerment and Development for poverty Alleviation (REDPA),HEALTH,Helping Hand for Relief and Development,43038,44863,1198438,0
The Economic and Social development Programme,LOCAL DEVELOPMENT,Japan,43238,43555,632443,0
Sustainable Economic Development in Rural Areas Nepal,FINANCIAL SERVICES,German Development Cooperation (KfW),42376,43861,10660500,9429811
Integrated Public Financial Management Reform Project(IPFMRP),FINANCIAL REFORM,World Bank Trust Funds,43336,44398,15000000,1039734
Nepal First Programmatic Fiscal and Public Financial Management Development Policy Credit,ECONOMIC REFORM,International Development Association,43230,43524,200000000,194860000
First Programmatic Energy Sector Development Policy credit(DPC),ENERGY,International Development Association,43383,43555,100000000,98729481
Fourth Financial Sector Stability Development Policy Credit(DPC),FINANCIAL REFORM,International Development Association,43383,43646,100000000,99330256
Private Sector-led Mini-grid Energy Access Project,RENEWABLE ENERGY,International Development Association,43577,45046,2000000,0
Livestock Sector Innovation Project,AGRICULTURE,International Development Association, -, -,80000000,3789889
Agriculture Sector Development Project (ASDP),AGRICULTURE,International Fund for Agricultural Development,43255,45446,43643781,2500000
Contribution to Agriculture and Rural Development (CARD),AGRICULTURE,European Union,43279,44742,46632000,0
Food and Nutrition Security Enhancement Project (FANSEP),AGRICULTURE,International Development Association,43418,45243,227000000,0
Post-Earthquake Repair  Reconstruction and Rehabilitation Support,Women  CHILDREN & SOCIAL WELFARE,Young Living Foundation,43102,43831,956189,475221
Contribution to NHSP impact in relevant program areas,HEALTH,World Health Organization,43101,43830,0,9492824
SENEP1206741 - Programme for Immunization Preventable Diseases  WHO Nepal,HEALTH,World Health Organization,40909,41639,113000,86545
SENEP1206530 - Diseases Surveillance and Epidemiology/Neglected Tropical Disease Elimination and Control/Malaria Elimination/Blood Safety and Laboratory Technology,HEALTH,World Health Organization,40909,41639,424000,337166
SENEP1206743 - To combat HIV/AIDs  Tuberculosis in Nepal,HEALTH,World Health Organization,40909, -,176000,150622
SENEP1206761 - NCD  Mental Health and Disabilities Prevention and Control,HEALTH,World Health Organization,40909, -,389000,478632
SENEP1206729 - Improving health during key stage of life including pregnancy childbirth  neonatal period childhood adolescent older age promoting gender equality equity and human rights,HEALTH,World Health Organization,40909, -,375000,305125
SENEP1206771 - To improve health services through better governance financing staffing and management to improve knowledge management and information technology and the use of essential medicines,HEALTH,World Health Organization,40909, -,1111000,1396007
SENEP1206682 - Environmental Health Nutrition and Food Safety,HEALTH,World Health Organization,40909, -,556000,785503
SENEP1206730 - Reduce the health consequences of emergencies and conflicts,HEALTH,World Health Organization,40909, -,165000,129835
SENEP1003708 - Nepal Tuberculosis,HEALTH,World Health Organization,40179,40908,84000,76573
SENEP1003827 - To improve health services through better governance financing staffing and management to improve knowledge management and information technology and the use of essential medicinal products,HEALTH,World Health Organization,40179,40908,537000,590992
SENEP1003933 - Environmental Health and Food Safety,HEALTH,World Health Organization,40179,40908,481000,456869
SENEP1003934 - Nepal Human Resources for Health,HEALTH,World Health Organization,40179,40908,713000,708886
SENEP1003982 - Improving health and nutrition during key stage of life-including pregnancy childbirth neonatal period childhood adolescence and older age-promoting equity,HEALTH,World Health Organization,40179,40908,652000,628515
SENEP1003990 - Programme for Immunization Preventable Diseases,HEALTH,World Health Organization,40179,40908,112000,112000
SENEP1004004 - To combat HIV/AIDS,HEALTH,World Health Organization,40179,40908,101500,179546
SENEP1004037 - Non-Communicable Diseases Mental Health and Oral Health,HEALTH,World Health Organization,40179,40908,143000,229398
SENEP1004085 - Health promotion tobacco injury violence deafness and blindness,HEALTH,World Health Organization,40179,40908,204000,197085
SENEP1004175 - Communicable Disease Surveillance and Response/Malaria/Essential Health Technology,HEALTH,World Health Organization,40148,40908,529000,512853
Disaster Resilience of School Project,EARTHQUAKE RECONSTRUCTION,Clean Energy Fund,43424,44834,1504000000,18934593
Resilient Integrated and Inclusive Development Project in Nepal (IIDPN),LIVELIHOOD,Islamic Relief Worldwide,43113,44938,2950246,737914
SENEP1004135 - Reduce the health consequences of emergencies,HEALTH,World Health Organization,40179,40908,85000,82397
Support to implement NHSP 2: Health policy planning including HCF CD NCD MCH Immunization EH EHA outbreak and response,HEALTH,World Health Organization,41640,42369,5106635,5106635
Strengthening pesticide management in agriculture to reduce risks to health and ENVIRONMENT AGRICULTURE,Food and Agriculture Organization,42016,42735,350000,350269, -
Building Agribusiness Capacity of Smallholder Farmers to Market Safe Produce of Good Quality,AGRICULTURE,Food and Agriculture Organization,42019,42735,350000,349972
Institutional Capacity Strengthening for Analysis,AGRICULTURE,Food and Agriculture Organization,41362,42369,110000,116737
Reduction of post-harvest losses in horticultural chains in SAARC Countries,AGRICULTURE,Food and Agriculture Organization,41681,42410,61000,60772
Strengthening Forest Tenure for Sustaining Livelihoods and Generating Income,FOREST,Food and Agriculture Organization,41984,42551,140000,137706
Building statistical capacity for quality food security and nutrition information in support of better informed policies,AGRICULTURE,Food and Agriculture Organization,41523,42369,110000,96937
Emergency response to restore the rural livelihoods of earthquake-affected farmers,AGRICULTURE,Food and Agriculture Organization,42153,42735,500000,488095
Immediate technical assistance to strengthen emergency preparedness for highly pathogenic avian influenza,AGRICULTURE,U.S. Agency for International Development,41971,42643,935000,945035
Reducing vulnerability and increasing adaptive capacity to respond to impacts of climate change and variability for sustainable livelihoods in agriculture sector in Nepal,AGRICULTURE,Global Environment Facility,42186,43677,2689498,2530380
TCP Facility - Component 1: National Action Plan for Zero Hunger ; Component 2: Identification of potential forestry projects in Nepal,FOREST,Food and Agriculture Organization,41869,42521,137006,111715
Regional Initiative for Zero Hunger Challenge: Promoting an Integrated Home Garden and School Garden Approach for food and nutrition security in selected Southeast Asian Countries,AGRICULTURE,Food and Agriculture Organization,42158,42735,56000,46136
Support to capacity development in implementation of plant pest surveillance and information management in South-east Asian countries,AGRICULTURE,Food and Agriculture Organization,41421,42735,300000,276675
Landslide prevention and stabilization of slopes in the most earthquake affected districts of Nepal,FOREST,Food and Agriculture Organization,42580,43311,406000,371470
Enhancing rural livelihoods in underutilized/abandoned agricultural land through agroforestry,AGRICULTURE,Food and Agriculture Organization,42612,43373,311000,303481
Supporting Developing Countries to Integrate the Agricultural Sectors into National Adaptation Plans (NAPs),AGRICULTURE,United Nations Development Programme,42542,43465,420000,354740
Building Resilience to Landslides through Support for Community-Based Rehabilitation and Mitigation Actions and the Establishment of Early Warning Systems in Nepal,FOREST,U.S. Agency for International Development,42615,43131,490074,482681
Regional Capacity Development for Regional Cooperation on Food Security through Control of TADs in South Asia,AGRICULTURE,Asian Development Bank,42209,42947,247470,236962
Improving national carp seed production system in Nepal,AGRICULTURE,Food and Agriculture Organization,40514,41364,330000,326899
Promoting transformative and climate resilient agriculture (CRA) in Nepal-Preparation Full Proposal for Green Climate Fund,AGRICULTURE,United Nations Environment Programme,43103,43190,230907,155327
Rapid response to the severely flood affected farming communities for the enhancement of food security status and the restoration of the production capacity.,AGRICULTURE,UN Resident and Humanitarian Coordination,42989,43190,400003,395608
Creating Enabling Environments for Nutrition-Sensitive Food and Agriculture to Address Malnutrition,AGRICULTURE,Food and Agriculture Organization,42730,43465,50000,37401
Strengthening One Health approaches for countries in the Asia-Pacific Region,AGRICULTURE,Food and Agriculture Organization,43133,43738,64200,61411
Strengthening agro-ecosystems resilience for climate change adaptation to improve food and nutrition security in Nepal,AGRICULTURE,Food and Agriculture Organization,43468,44074,350000,46054
Building capacities to improve and sustain forest health to enhance the resilience of forests and livelihoods of forest dependent communities in Nepal,LIVELIHOOD,Food and Agriculture Organization,43595,44104,350000,57843
Building Community-Based Resilience to Landslides through Rehabilitation and Mitigation Actions in Nuwakot District Nepal,LIVELIHOOD,U.S. Agency for International Development,43315,43677,99997,88299
Strengthening the capacity for monitoring Food Security and Sustainable Agriculture in the context of Sustainable Development Goals (SDG) 2 and 12,AGRICULTURE,Food and Agriculture Organization,43163,43830,15750,4816
TFD-10/NEP/004: Improving nutritional status of school children and community people through increased productiona and consumption of fruits and vegetables,AGRICULTURE,Food and Agriculture Organization,40959,41288,9125,9125
TFD-10/NEP/006 - Improving nutritional status of school children and community people through increased production and consumption of fruits and getetable,AGRICULTURE,Food and Agriculture Organization,40969,41347,9125,9125
TFD-11/NEP/002_ Improving nutritional status of children by demonstrating kitchen garden model in schools and its vicinity,AGRICULTURE,Food and Agriculture Organization,41046,41418,9960,9960
Combating Citrus Decline Problem in Nepal,AGRICULTURE,Food and Agriculture Organization,40424,41639,303000,290346
Sustainable Management and Development of Non-wood Forest Products in Tarai and Siwalik Regions of Nepal,FOREST,Food and Agriculture Organization,41304,42094,300000,260081
Integrated Pest Management Phase II,AGRICULTURE,39748,41307,3842705,4541170, -
Piloting land registration and management in Achham district,LAND REFORM & SURVEY,United Nations Peace Fund,40343,40877,50000,46922
Forest and Farm Facility,FOREST,Food and Agriculture Organization,41471,43100,629082,595892
