Subject,"No. of Participants",Host Institution,Place
52nd SEACEN Governors Conference,2,SEACEN,Yangon Myanmar
23rd  Mas Banking Supervision,2,MAS,Singapore
BIS Asian Reserve Management Workshop,2,BIS,Hong Kong
"MANAFATE/APG Joint Typologies & Capacity Building Workshop",1,APG,Jeddah Saudi Arabia
2016 Cyber Security Conclave,2,IFC,Dhaka Bangladesh
SEACEN-IMF Course on Financial Cycles and Crisis,4,SEACEN-IMF,Mumbai India
Forecasting Budgeting & Financial Management,3,CBSL,Colombo Sri Lanka
"2016 International Sustainable Finance Forum- Market Innovation for Sustainable Finance",2,IFC,Bali Indonesia
Financial Soundness Indicators,2,IMF-STI,Singapore
"Maximizing the Power of Access: Finding an Optimal Balance Between Financial Inclusion & Financial Stability.",2,AFI,Bali Indonesia
Best Practices in Commercial Bank Operations,2,CBSL,Colombo Sri Lanka
"Annual Conference on Central Bank Business Surveys & Liaison Programme",2,,Kuala Lumpur
Workshop on Credit Management,2,CBSL,Colombo Sri Lanka
Legal Aspects of International Financial Institutions,2,IMF-STI,Singapore
"Conference on Bank Resolution Crisis Management & Deposit Insurance Issues",1,BIS,Basel Switzerland
"Meeting on Supervisory Priorities including Implementing Basel II",1,BIS,Basel Switzerland
"Seminar on Impacts of Mobile Financial  Services in the SAARC Region & 2nd Meeting of Researchers",3,Bangladesh Bank,Dhaka Bangladesh
"International Programme in Application of Information Technology for Development of Agriculture Cooperatives & Rural Financing Institutions",3,CICTAB,Pune India
3rd SEACEN Research Week,1,SEACEN,Kuala Lumpur Malaysia
"Exposure Visit to Programme on Co-operative Business Model in Sri Lanka",2,CICTAB,Colombo Sri Lanka
"Discussion with RBI on the Issues of Demonetization of INR 500 & 1000",2,MoF/N,Delhi India
Training on Basel II & III Practices of RBI,5,RBI,Mumbai India
"Security Features in Genuine Currency Notes & Identification of Forged Notes",6,CBSL,Colombo Sri Lanka
Regional Development: Fiscal Risk Fiscal Space & SDGs,1,IMF-JICA,Japan
Central Banking Policies-Cruising New Frontiers,4,RBI,Chennai India
"MoU on Cooperation in the Field of Supervision and Exchange of Supervisory Information",2,NRB/State Bank of Pakistan,Karachi Pakistan
Retreat Programme,1,IMF,Vietnam
"Brainstorming Workshop to Finalize the Draft Strategic Plan of SDF 2020 MSME",1,SAARC Dev. Fund,Colombo Sri Lanka
Working Visit of RTGS System of RBI,3,RBI,Mumbai India
Financial Soundness Indicators,2,IMF,Bangkok Thailand
On-Site Banking Supervision,1,DBB,Munich Germany
"4th Meeting of the SEAVG Working Group to Enhance the Effectiveness and Formulate the New Rotation Scheme for SEAVG Office at the IMF",1,BNM,Kuala Lumpur Malaysia
Inauguration and First Steering Committee Meeting,2,IMF-SARTAAC,Delhi India
"Apec Financial Regulators Training Initiative Regional Seminar on Crisis Management",4,APEC,Bali Indonesia
"International Programme on Agricultural Financing and Rural Development",1,CICTAB,Dhaka Bangladesh
Asia Reserve Managers Exchange,3,SCB,Singapore
7th Economic and Finance Conference,1,"Int'l Institution of Social & Eco. Science",Tel Aviv Israel
47th International Central Banking Course,1,State Bak of Pakistan,Pakistan
"Women's Development through Income Generating Activities",2,CICTAB,Pune India
"International Programme on Good Governance for Women Board of Directors of Cooperatives and Rural Financing Institutions.",3,CICTAB,Pune India
"International Programme on Skill Development of Trainers Training in the area of Promotion and Financing or SHGs JLGs for Financial Inclusion for Rural Poor",3,CICTAB,Lucknow India
"Sale Promotion Programme of Foreign Employment Saving Bonds",4,NRB,Doha Dubai
Foreign Reserve Management,4,Bank of Korea,Seoul Korea
"Top Management Forum on Knowledge Management for SMEs",1,Korea,Korea
Seminar on Stress Testing for Supervision,1,BIS,Switzerland
Research and Observation Visit,2,Money Loundering Nepal,Fiji
Economic Education- The Role of Central Banks,1,DBB,Frankfurt Germany
Meeting of the Supervisory College,4,RBI,Mumbai India
"5th Advance Programme for Central Bankers and Regulators",2,The Chinese University,Hong Kong
FATF Plenary and Working Group Meeting,2,FATF,France
Public Procurement,1,DBB,Frankfurt
Japan IMF Microfinance Seminar for Asia,1,"National Graduate Institute for Policy Studies",Japan
"SEACEN Foundation Course on Payment and Settlement Systems",3,SEACEN,Beijing China
Fiscal Analysis and Forecasting,1,IMF-SARTTAC,Delhi India
Human Resource Management at Central Banks,2,ISCB,Istanbul Tukey
Cloud Services and Intermediate infrastructure Industries,1,WHD.Global,Rust Germany
"5th NRNA Asia Pacific Regional Meeting & Inaugural ADB-OMFIF Seminar",2,NRNA,Kuala Lumpur & Tokyo
"International Programme on Cooperative Governance for the Board of Directors of Cooperatives and Rural 
Financing Institutions",2,CICTAB,Pune India"12th Asia-Pacific High Level Meeting on Banking Supervision",2,BIS,Bali Indonesia
Assessor Training Workshop,1,APG/FATF,Washington DC USA
Workshop on Achieving Better Results in Complex Times,4,SEACEN,Bangkok Thailand
"2nd Dissemination Workshop: FAD-APRACA Regional Grant Project ""RuFBeP""",1,APRACA,Indonesia
SAARCFINANCE Seminar on Financial Stability,2,SAARC-Finance,Islamabad Pakistan
"SEACEN-BOJ Intermediate Course on Payment and Settlement Systems",4,SEACEN,Kuala Lumpur Malaysia
Regional Seminar on Liquidity Risk Management,4,APEC,Hong Kong
Dye Destruction Process of Rs. 100,2,China Banknote,Nanchang China
High Security Printing Conference Series 2016-17,2,Reconnaissance International,Baku Azerbaijan
"Payment & Settlement Systems: Operation Risks and Oversight",4,RBI,Chennai
Exposure Visit/Training,24,CMA,Cambodia
Interaction Programme With CMA Senior Management,3,CMA,Cambodia
Meeting of the Standing Committee,2,ICU,Myanmar
Financial Markets and Instruments,1,IMF-STI,Singapore
SAARC Finance Coordinators Meeting,1,SAARC Finance,Dhaka Bangladesh
"The Transmission of Macro-Prudential and Monetary Policies Across Borders & 2017 Spring Meeting of IMF",2,IMF/IBRN,Washington DC USA
"Observation Visit to International Practices in Areas of Banking and Insurance Sector",1,MoF/N,"Frankfurt & Berlin Germany"
Internal Audit Practices at Central Banks,1,ISCB,Istanbul Turkey
Programme on Strategic Leadership in Inclusive Finance,1,UNCDF,Boston USA
Crisis Management and Resolution,4,SEACEN,Kuala Lumpur Malaysia
Model Based Monetary Policy Analysis & Forecasting,2,IMF-STI,Singapore
IT Auditing,1,DBB,Frankfurt Germany
Central Bank Accounting and Budget Management,2,Banque de France,Paris France
"Cash Related Processes at Central Bank-Risk Coverage by the Internal Audit Function",1,DBB,Frankfurt Germany
Compilation of Balance of Payment Statistics,1,IMF,Washington DC USA
The Currency Conference,1,Currency Research,Kuala Lumpur Malaysia
Reserve and Asset Management,1,BIS,Switzerland
Fiscal Framework,1,IMF-STI,Singapore
Equitable Growth through Financial Inclusion,1,RMA,Bhutan
Introductory Course on Monetary & Financial Statistics,1,IMF-STI,Singapore
4th International User Group Meeting,2,WHD. Global,New York USA
"Workshop on International Cooperation focused on Asset Recovery for BIMSTEC Member Countries",1,BFIU/WBG,Dhaka Bangladesh
IADI 2017 Research Conference,1,BIS,Switzerland
"68th APRACA Executive Meeting & Visit to the APRACA Secretariat",3,APRACA,Beijing & Bangkok
Developing a Leadership Growth Mindset,3,SEACEN,Myanmar
"Regional Seminar on Cyber Security/Technology Risk Supervision",2,APEC,Cook Islands
To Visit Banknote Printing Plant,3,China Banknote,Nanchang China
KPP Knowledge Partnership Programme,4,Bank of Korea,Seoul Korea
Training on Quarterly National Accounting,1,IMF-SARTAAC,Delhi India
Internet Based Fully Automation,1,NEPSE,Dhaka Colombo
35th AGM of SEACEN,2,SEACEN,Kuala Lumpur
Capital Flows Macroeconomics Analysis and Policies,1,IMF-STI,Singapore
Financial Programming and Policies,1,IMF-SARTAAC,Delhi India
Fiscal Policy Analysis with DSGE Models,1,IMF,Washington DC USA
Financial Sector Surveillance,1,IMF-STI,Singapore
Working Group Meeting,2,FATF,Spain
UOB Hong Kong Cash Processing Centre,2,United Overseas Bank,Hong Kong
Annual General Meeting of BIS,2,BIS,Switzerland
Basel Regulations,5,RBI,Chennai India
"South-South Education Programme for Economic and Finance",1,"Finance Center for South -South Corporation",Beijing
Portfolio Analytics,1,BIS,Switzerland
Programme with Ministry of Commerce and Industry,4,IMF-SARTTAC,New Delhi
Egmont Group Plenary,2,Egmont Group,Macau China
Study Visit,1,Bank of Korea,Seoul Korea
"SEACEN-MAS Financial Technology Disruption: Rebutting Finance and Regulation",4,SEACEN-MAS,Singapore
"BNM-AFI Consumer Empowerment and Market Conduct Programme",4,BNM-AFI,Kuala Lumpur Malaysia
"Course on Macroeconomic & Monetary Policy Management Theme"" Monetary Policy Challenges since the Global Financial Crisis",4,SEAEN,Bali Indonesia
"39th Meeting of SEACEN Directors of Monetary Policy Research & High Level Seminar for Directors of Monetary Policy Research",1,SEACEN,Kuala Lumpur Malaysia
"46th Board of Directors Meeting & STS Meeting of the Asian Clearing Union",4,ACU,Colombo Sri Lanka
APG Annual Meeting,2,APG,Colombo Sri Lanka
Green Financing Symposium,1,BIS,Frankfurt Germany
24th Banking Supervisors Training Programme,2,SEACEN,Singapore
Total,500,,
