(Rs. mln),,,,,,
Fiscal Year,Category,No. of Industry,Authorized Capital,Fixed Capital,Foreign Investment,Total No. of Employment
,Energy Based,1,111.00,107.30,30.30,0
,Manufacturing,44,1911.20,1333.73,1897.95,2796
,Mineral,1,10.00,5.00,10.00,128
,Service,81,990.79,898.25,938.20,2669
,Tourism,55,315.08,249.72,267.12,1486
,Total,188,3425.57,2650.56,3226.79,7389
2064/65,Agriculture,11,127.20,99.79,107.35,377
,Construction,13,2118.71,1584.80,1803.71,1143
,Energy Based,8,7346.12,7287.59,2867.60,967
,Manufacturing,51,3028.52,1920.23,1244.06,3775
,Mineral,7,3630.00,2852.85,2230.00,722
,Service,55,3370.03,2454.24,813.29,1513
,Tourism,67,783.30,696.77,744.99,2180
,Total,212,20403.88,16896.27,9811.00,10677
2065/66,Agriculture,8,618.70,204.79,302.07,671
,Construction,1,88.57,31.61,56.97,8
,Energy Based,9,3519.77,3440.51,2244.72,1011
,Manufacturing,48,1464.42,895.37,1178.26,2396
,Mineral,17,479.00,417.20,474.00,2635
,Service,78,2273.88,1645.70,1235.97,2587
,Tourism,70,973.55,894.84,763.11,1800
,Total,231,9417.89,7530.02,6255.09,11108
2066/67,Agriculture,2,10.00,8.60,10.00,69
,Construction,1,20.00,15.70,20.00,36
,Energy Based,5,9961.05,9765.15,4747.00,493
,Manufacturing,37,3751.50,3420.93,2605.35,1994
,Mineral,4,100.00,87.85,94.00,514
,Service,72,976.05,760.37,906.11,3205
,Tourism,50,1035.17,929.39,717.53,1537
,Total,171,15853.78,14987.98,9100.00,7848
2067/68,Agriculture,23,473.36,393.03,367.12,1337
,Construction,1,150.00,120.00,150.00,90
,Energy Based,6,2018.00,1738.00,1227.00,577
,Manufacturing,39,6269.01,5135.46,6135.92,3312
,Mineral,5,113.60,102.60,67.54,446
,Service,88,1020.92,783.33,918.81,3555
,Tourism,47,1205.30,1103.05,1184.33,1570
,Total,209,11250.19,9375.46,10050.71,10887
2068/69,Agriculture,15,174.2,151,162.2,497
,Energy Based,4,5009.5,4832.5,2997.5,590
,Manufacturing,31,3537.47,3014.06,988.51,1771
,Mineral,7,171.7,130.74,157.7,530
,Service,106,2114.8,1821.09,1997.45,3815
,Tourism,64,904.65,788.74,837.45,1847
,Total,227,11912.32,10738.13,7140.81,9050
Grand Total,,2335,164100.26,139857.74,75149.97,164482
